Date,Close/Last,Volume,Open,High,Low
11/28/2023,$8.99,199587,$8.83,$9.18,$8.57
11/27/2023,$8.87,351426,$8.85,$9.16,$8.83
11/24/2023,$8.84,378150,$9.18,$9.685,$8.79
11/22/2023,$9.21,827607,$9.43,$9.48,$8.9738
11/21/2023,$9.15,513525,$9.80,$9.925,$9.08
11/20/2023,$9.80,306900,$9.48,$10.49,$9.48
11/17/2023,$9.50,295627,$9.02,$9.75,$9.02
11/16/2023,$8.93,243090,$8.72,$9.05,$8.515
11/15/2023,$8.77,249567,$8.77,$9.32,$8.56
11/14/2023,$8.83,369773,$7.68,$8.83,$7.60
11/13/2023,$8.43,273938,$7.70,$8.56,$7.53
11/10/2023,$7.80,358262,$8.05,$8.145,$7.60
11/09/2023,$7.84,305665,$8.99,$8.9939,$7.80
11/08/2023,$9.01,281489,$8.89,$9.26,$8.50
11/07/2023,$9.12,302748,$9.11,$9.28,$8.71
11/06/2023,$8.96,469864,$8.39,$9.11,$8.25
11/03/2023,$8.32,327955,$7.93,$8.66,$7.93
11/02/2023,$7.70,322346,$7.37,$7.75,$7.215
11/01/2023,$7.24,201554,$7.22,$7.26,$7.051
10/31/2023,$7.20,247834,$7.02,$7.32,$6.8387
10/30/2023,$6.88,282476,$6.73,$6.98,$6.485
10/27/2023,$6.685,239401,$6.91,$6.93,$6.49
10/26/2023,$6.92,168836,$6.77,$6.96,$6.68
10/25/2023,$6.78,222238,$6.94,$7.27,$6.56
10/24/2023,$7.10,392926,$7.01,$7.27,$6.91
10/23/2023,$6.935,439103,$6.94,$7.32,$6.77
10/20/2023,$7.16,441769,$6.93,$7.6975,$6.83
10/19/2023,$7.05,789625,$7.81,$7.84,$6.97
10/18/2023,$7.70,626651,$8.35,$8.46,$7.63
10/17/2023,$8.50,623494,$9.14,$9.40,$8.33
10/16/2023,$9.27,608257,$9.15,$9.39,$8.57
10/13/2023,$9.13,679658,$9.53,$9.85,$9.01
10/12/2023,$9.45,926092,$9.17,$9.87,$8.74
10/11/2023,$9.09,1615052,$9.43,$10.162,$8.93
10/10/2023,$9.52,2937574,$8.14,$9.89,$7.8708
10/09/2023,$8.19,1897481,$7.69,$8.42,$7.25
10/06/2023,$8.35,7085919,$6.58,$9.60,$6.47
10/05/2023,$6.555,3236872,$6.89,$6.90,$6.11
10/04/2023,$6.38,4059606,$7.12,$7.45,$6.01
10/03/2023,$7.51,42677460,$8.09,$8.3199,$6.91
10/02/2023,$4.81,321366,$4.79,$4.88,$4.76
09/29/2023,$4.80,133553,$4.98,$4.985,$4.71
09/28/2023,$4.95,96150,$4.74,$4.97,$4.64
09/27/2023,$4.76,89553,$4.99,$4.99,$4.66
09/26/2023,$4.94,71550,$4.80,$5.02,$4.71
09/25/2023,$4.81,66576,$4.98,$5.015,$4.7201
09/22/2023,$5.03,135627,$5.02,$5.06,$4.80
09/21/2023,$5.02,131370,$4.76,$5.05,$4.70
09/20/2023,$4.82,106645,$4.95,$5.01,$4.79
09/19/2023,$4.96,74027,$5.16,$5.25,$4.725
09/18/2023,$5.16,113755,$5.24,$5.25,$4.77
09/15/2023,$5.18,267840,$5.01,$5.35,$5.01
09/14/2023,$5.01,85598,$5.18,$5.31,$4.99
09/13/2023,$5.15,201974,$5.08,$5.20,$4.96
09/12/2023,$5.05,120554,$4.89,$5.10,$4.89
09/11/2023,$4.96,96403,$4.96,$5.01,$4.611
09/08/2023,$4.92,144815,$4.99,$4.99,$4.73
09/07/2023,$4.97,391770,$4.81,$5.09,$4.67
09/06/2023,$4.84,377433,$4.54,$4.99,$4.41
09/05/2023,$4.55,331998,$4.54,$4.83,$4.40
09/01/2023,$4.52,327361,$4.37,$4.60,$4.24
08/31/2023,$4.26,320976,$4.34,$4.44,$3.9357
